2025-11-27 11:12:40 | INFO     | seo_workbench.ui.dialogs.ai_title_dialog:_on_generate:152 - 准备生成标题: 关键词=吸尘器, 数量=30
2025-11-27 11:12:41 | INFO     | seo_workbench.ai.api_client:__init__:33 - AI 客户端初始化完成: https://api.deepseek.com, 模型: deepseek-chat
2025-11-27 11:12:41 | INFO     | seo_workbench.ui.dialogs.ai_title_dialog:_on_generate:164 - 开始调用 AI API...
2025-11-27 11:12:41 | INFO     | seo_workbench.ai.api_client:generate_titles:61 - 正在生成标题: 关键词='吸尘器', 数量=30
2025-11-27 11:13:03 | INFO     | seo_workbench.ai.api_client:generate_titles:74 - API 请求成功，开始解析响应
2025-11-27 11:13:03 | INFO     | seo_workbench.ai.api_client:generate_titles:86 - 成功生成 30 个标题
2025-11-27 11:13:03 | INFO     | seo_workbench.ui.dialogs.ai_title_dialog:_on_generate:172 - AI API 返回了 30 个标题
2025-11-27 11:13:03 | INFO     | seo_workbench.ui.dialogs.ai_title_dialog:_on_generate:201 - AI 生成了 30 个标题
2025-11-27 11:24:41 | INFO     | seo_workbench.utils.file_handler:read_excel:35 - 成功读取 Excel: C:/Users/EDY/Desktop/test.xlsx, 行数: 14, 列数: 63
2025-11-27 11:24:41 | INFO     | seo_workbench.ui.widgets.smart_grid:import_from_excel:369 - 从 Excel 导入: 14 行, 63 列
2025-11-27 14:14:17 | INFO     | seo_workbench.utils.logger:setup_logger:56 - 日志系统初始化完成 - 日志目录: E:\Case-5\seo_workbench\logs, 级别: INFO
2025-11-27 14:14:17 | INFO     | seo_workbench.database.init_db:init_database:28 - 数据库文件已存在: assets.db
2025-11-27 14:14:17 | INFO     | seo_workbench.database.db_manager:_initialize:49 - 数据库管理器初始化完成: assets.db
2025-11-27 14:14:17 | INFO     | seo_workbench.database.db_manager:create_tables:54 - 数据库表创建完成
2025-11-27 14:14:17 | INFO     | seo_workbench.database.init_db:init_database:43 - 数据库初始化完成 - 素材数: 5, 分类数: 4
2025-11-27 14:14:17 | INFO     | seo_workbench.config.settings:load_from_file:165 - 配置已加载: profile.json
2025-11-27 14:14:17 | INFO     | __main__:load_config:39 - 配置已加载: profile.json
2025-11-27 14:14:18 | INFO     | seo_workbench.ui.main_window:__init__:43 - Fluent 主窗口初始化完成
2025-11-27 14:14:29 | INFO     | seo_workbench.utils.file_handler:read_excel:35 - 成功读取 Excel: C:/Users/EDY/Desktop/test.xlsx, 行数: 14, 列数: 63
2025-11-27 14:14:29 | INFO     | seo_workbench.ui.widgets.smart_grid:import_from_excel:369 - 从 Excel 导入: 14 行, 63 列
2025-11-27 14:14:33 | INFO     | seo_workbench.ui.widgets.smart_grid:clear_all:543 - 工作区已清空
